number;panSizeRange.min;panSizeRange.max;funding;product.id;product.name;product.image.url;product.image.width;product.image.height;product.image.mimeType;product.url;issuer.code;issuer.name;country;isInternational;regexp;isCompany;isToken;is3DS;brand.id;brand.name;brand.image.url;brand.image.width;brand.image.height;brand.image.mimeType;brand.url;allowedCaptures;usages;network.id;network.name;network.image.url;network.image.width;network.image.height;network.image.mimeType;network.url;metadata.image.url;metadata.image.width;metadata.image.height;metadata.image.mimeType;metadata.backgroundColor;metadata.foregroundColor;metadata.issuer;metadata.brand;metadata.product;services
"650512";16;16;"CREDIT";"95a8246e-7ac8-48e1-b817-a91e3e6f9499";"ELO Mais";"";"";"";"";null;104;"Caixa Economica Federal";"BRL";true;"^650512$";false;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2},{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1},{"id":"5","name":"Contactless","code":5},{"id":"4","name":"E-commerce","code":4}];[{"id":"0","name":"Crédito","code":0},{"id":"0","name":"Parcelado Loja","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[{"id":"79fbb4ad-3afb-42c4-bf0c-472c0cf75864","name":"Auto Emergência II","description":"Tenha à disposição a Assistência Auto Emergência II para atender não só à situações emergenciais, como também serviços que trazem a conveniência que precisa para cuidar de seu veículo, seja ele carro ou moto. Confira na listagem os serviços que compõe a assistência.\nServiço disponível via 0800 – 24/7","image":null,"url":null},{"id":"85db0fa7-2774-44d8-b77d-3ed019ca7251","name":"Instalação e Fixação","description":"Os serviços de instalação e fixação contemplam todo suporte necessário para a decoração de sua casa com auxílio de um profissional especializado. Confira na listagem os serviços que compõe esta assistência.\nServiço disponível via 0800 – 24/7","image":null,"url":null},{"id":"2b6fe33d-a04f-4751-8520-b1a5ee7b1257","name":"Clube Elo Mania","description":"Plataforma que garante descontos a inúmeros estabelecimentos como restaurantes, cinemas, produtos, serviços, instituições de ensino, entre outros.","image":null,"url":null},{"id":"aa48fd93-a7a3-4657-b120-cffabbb2e36e","name":"Wi-Fi","description":"Com o aplicativo Elo Wi-Fi você tem acesso a redes Wi-Fi em mais de 120 países, com 60 milhões de pontos estratégicos de conexão em aeroportos, shoppings, hotéis, lojas, cafés, restaurantes e outros locais de grande circulação.\n\nSua escolha pode mudar e seu benefício também!\nCaso entenda que esse não é o benefício ideal para você no momento, você pode alterá-lo por outro, a qualquer tempo, mesmo que já o tenha experimentado.","image":null,"url":null},{"id":"468af87f-38c9-4c62-bd26-869b3693045b","name":"Residencial Básico","description":"Tenha a sua disposição a Assistência Residencial para atender situações emergenciais da sua casa. Confira na listagem os serviços que compõe esta assistência.\nServiço disponível via 0800 – 24/7","image":null,"url":null}]
"650921";16;16;"CREDIT";"9e08c61c-9f4e-468e-81c8-a087f7dd2bc1";"Empresarial Grafite";"";"";"";"";null;104;"Caixa Economica Federal";"BRL";true;"^650921$";true;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2},{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1},{"id":"5","name":"Contactless","code":5},{"id":"4","name":"E-commerce","code":4}];[{"id":"0","name":"Crédito","code":0},{"id":"0","name":"Parcelado Loja","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[{"id":"0a74a20b-8c83-4d45-8a8c-18681d96c0cb","name":"Portal Elo Negócios","description":null,"image":null,"url":null},{"id":"31b4d481-4e23-4f59-9381-61360c9edec8","name":"Assistência Empresarial","description":"Com a Assistência Empresarial Elo sua empresa conta com serviço de chaveiro, eletricista e encanador 24 horas, além de vidraceiro. São profissionais ao dispor do seu negócio nos momentos em que ele mais precisa.","image":null,"url":null},{"id":"f685c734-20ee-408a-a78a-24226266e04c","name":"Sala VIP Congonhas","description":null,"image":null,"url":null},{"id":"1a202546-f0bf-4dfe-b214-8e67f52a30b1","name":"Seguro Viagem DMHO - 40 mil","description":"Ao comprar a passagem aérea, marítima ou terrestre com os cartões Elo, o cliente pode emitir o bilhete de seguro para todos que tiverem a passagem adquirida com o cartão Elo e garantir coberturas que deixarão a viagem mais tranquila.\nCobertura nacional + DMHO USD 40 mil.","image":null,"url":null}]
"650040";16;16;"DEBIT";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;237;"Banco Bradesco SA";"BRL";true;"^650040$";false;false;true;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2},{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1},{"id":"5","name":"Contactless","code":5}];[{"id":"0","name":"Débito","code":0},{"id":"0","name":"Débito","code":0},{"id":"0","name":"Pagamento de Carnê e Fatura","code":0},{"id":"0","name":"Pagamento de Carnê e Fatura","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650042";16;16;"DEBIT";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;237;"Banco Bradesco SA";"BRL";true;"^650042$";false;false;true;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2},{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1},{"id":"5","name":"Contactless","code":5}];[{"id":"0","name":"Pagamento de Carnê e Fatura","code":0},{"id":"0","name":"Débito","code":0},{"id":"0","name":"Pagamento de Carnê e Fatura","code":0},{"id":"0","name":"Débito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650922";16;16;"CREDIT";"df73c92b-a58e-4384-b086-a665ede85314";"Corporativo";"";"";"";"";null;1;"Banco do Brasil SA";"BRL";true;"^650922$";true;true;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"4","name":"E-commerce","code":4},{"id":"3","name":"Mobile","code":3},{"id":"2","name":"TEF","code":2},{"id":"1","name":"POS","code":1},{"id":"5","name":"Contactless","code":5}];[{"id":"0","name":"Crédito","code":0},{"id":"0","name":"Parcelado Loja","code":0},{"id":"0","name":"Crediário Crédito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650410";16;16;"PREPAID";"ebd0e72a-97e4-4683-84a0-8cbb1dbc2cc6";"Uso Geral";"";"";"";"";null;979;"Celer Processamento Comercio e Servico LTDA";"BRL";true;"^650410$";false;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2},{"id":"1","name":"POS","code":1},{"id":"3","name":"Mobile","code":3},{"id":"4","name":"E-commerce","code":4}];[{"id":"0","name":"Crédito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650412";16;16;"PREPAID";"da1b96e5-1644-4d3a-abc1-87e076071011";"Conta de Pagamento PJ";"";"";"";"";null;952;"GETNET ADQUIRENCIA E SERVICOS PARA MEIOS DE PAGAMENTO SA";"BRL";true;"^650412$";true;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1},{"id":"2","name":"TEF","code":2},{"id":"5","name":"Contactless","code":5},{"id":"4","name":"E-commerce","code":4}];[{"id":"0","name":"Crédito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650414";16;16;"PREPAID";"da1b96e5-1644-4d3a-abc1-87e076071011";"Conta de Pagamento PJ";"";"";"";"";null;362;"Cielo SA";"BRA";true;"^650414$";true;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"4","name":"E-commerce","code":4},{"id":"5","name":"Contactless","code":5},{"id":"2","name":"TEF","code":2},{"id":"3","name":"Mobile","code":3},{"id":"1","name":"POS","code":1}];[{"id":"0","name":"Crédito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650423";16;16;"PREPAID";"ebd0e72a-97e4-4683-84a0-8cbb1dbc2cc6";"Uso Geral";"";"";"";"";null;939;"Banco Digio Driver";"BRA";true;"^650423$";false;true;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"1","name":"POS","code":1},{"id":"4","name":"E-commerce","code":4},{"id":"2","name":"TEF","code":2},{"id":"5","name":"Contactless","code":5},{"id":"3","name":"Mobile","code":3}];[{"id":"0","name":"Crédito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
"650425";16;16;"PREPAID";"ebd0e72a-97e4-4683-84a0-8cbb1dbc2cc6";"Uso Geral";"";"";"";"";null;919;"Carson Holdings SA";"BRA";true;"^650425$";false;false;false;"c73cbc00-c00f-4aed-9967-9f566d8ab459";"ELO";"";"";"";"";null;[{"id":"2","name":"TEF","code":2}];[{"id":"0","name":"Débito","code":0}];"40c81aea-0c1f-4f93-aa53-8c3c15b07120";"INTERNACIONAL";"";"";"";"";null;"";"";"";"";null;null;null;null;null;[]
